depth,move number,Prunings,Winner,Which Heur,Who First
5,3,7404,--,old,RB
5,4,3095,--,old,RB
5,5,2283,--,old,RB
5,6,1431,--,old,RB
5,7,1123,--,old,RB
5,8,608,--,old,RB
5,0,0,O,old,RB
5,1,5941,--,old,RB
5,2,5428,--,old,RB
5,3,7169,--,old,RB
5,4,1217,--,old,RB
5,5,950,--,old,RB
5,6,1636,--,old,RB
5,7,1101,--,old,RB
5,8,808,--,old,RB
5,0,0,O,old,RB
5,1,5981,--,old,RB
5,2,9631,--,old,RB
5,3,7204,--,old,RB
5,4,2028,--,old,RB
5,5,1804,--,old,RB
5,6,1207,--,old,RB
5,7,727,--,old,RB
5,8,751,--,old,RB
5,0,0,O,old,RB
5,1,5987,--,old,RB
5,2,5728,--,old,RB
5,3,7182,--,old,RB
5,4,684,--,old,RB
5,5,899,--,old,RB
5,6,1222,--,old,RB
5,7,605,--,old,RB
5,8,437,--,old,RB
5,9,270,--,old,RB
5,10,120,--,old,RB
5,11,34,--,old,RB
5,12,0,--,old,RB
5,0,0,O,old,RB
5,1,3006,--,old,RB
5,2,9578,--,old,RB
5,3,6992,--,old,RB
5,4,1205,--,old,RB
5,5,3543,--,old,RB
5,6,1758,--,old,RB
5,7,1210,--,old,RB
5,8,640,--,old,RB
5,9,280,--,old,RB
5,0,0,O,old,RB
5,1,5987,--,old,RB
5,2,9806,--,old,RB
5,3,7152,--,old,RB
5,4,1232,--,old,RB
5,5,2646,--,old,RB
5,6,2307,--,old,RB
5,7,1193,--,old,RB
5,0,0,O,old,RB
5,1,5937,--,old,RB
5,2,9629,--,old,RB
5,3,6574,--,old,RB
5,4,5176,--,old,RB
5,5,2636,--,old,RB
5,6,1544,--,old,RB
5,7,1186,--,old,RB
5,8,697,--,old,RB
5,0,0,O,old,RB
5,1,5937,--,old,RB
5,2,9631,--,old,RB
5,3,7206,--,old,RB
5,4,720,--,old,RB
5,5,3166,--,old,RB
5,6,352,--,old,RB
5,7,100,--,old,RB
5,8,0,--,old,RB
5,9,0,--,old,RB
5,10,150,--,old,RB
5,0,0,O,old,RB
5,1,5941,--,old,RB
5,2,5161,--,old,RB
5,3,7281,--,old,RB
5,4,4682,--,old,RB
5,5,3548,--,old,RB
5,6,975,--,old,RB
5,7,647,--,old,RB
5,8,330,--,old,RB
5,9,368,--,old,RB
5,0,0,O,old,RB
5,1,2970,--,old,RB
5,2,9971,--,old,RB
5,3,6938,--,old,RB
5,4,4679,--,old,RB
5,5,2239,--,old,RB
5,6,2458,--,old,RB
5,7,1295,--,old,RB
5,0,0,O,old,RB
5,1,5954,--,old,RB
5,2,8827,--,old,RB
5,3,7102,--,old,RB
5,4,1617,--,old,RB
5,5,1195,--,old,RB
5,6,810,--,old,RB
5,7,672,--,old,RB
5,8,644,--,old,RB
5,9,251,--,old,RB
5,10,68,--,old,RB
5,11,0,--,old,RB
5,12,2,--,old,RB
5,0,0,,old,RB
5,1,4036,--,old,RB
5,2,9810,--,old,RB
5,3,7305,--,old,RB
5,4,4946,--,old,RB
